ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
AAPL,296.24,300.6,295.19,300.35,33911864.0
AMZN,1875.0,1898.01,1864.15,1898.01,4035910.0
FB,206.75,209.79,206.27,209.78,12090707.0
GOOG,1341.55,1368.14,1341.55,1367.37,1406731.0
MSFT,158.78,160.73,158.33,160.62,22634546.0
NFLX,326.1,329.98,324.78,329.81,4348493.0
TSLA,424.5,430.69599999999997,421.71,430.26,9558386.0
AAPL,297.15,300.58,296.5,297.43,36633878.0
AMZN,1864.5,1886.1970000000001,1864.5,1874.97,3766604.0
FB,207.21400000000003,210.4,206.95,208.67,11197416.0
GOOG,1347.86,1372.5,1345.5439999999999,1360.66,1187006.0
MSFT,158.32,159.945,158.06,158.62,21121681.0
NFLX,326.78,329.86,325.53,325.9,3795466.0
TSLA,440.5,454.0,436.92,443.01,17794697.0
AAPL,293.79,299.96,292.75,299.8,29644644.0
AMZN,1860.0,1903.69,1860.0,1902.88,4065698.0
FB,206.7,212.78,206.52,212.6,17073861.0
GOOG,1350.0,1396.5,1350.0,1394.21,1733149.0
MSFT,157.08,159.1,156.51,159.03,20826702.0
NFLX,323.12,336.36,321.2,335.83,5668577.0
TSLA,440.47,451.56,440.0,451.54,10157499.0
AAPL,299.84,300.9,297.48,298.39,27877655.0
AMZN,1904.5,1913.89,1892.043,1906.86,4134010.0
FB,212.82,214.58,211.75,213.06,15111857.0
GOOG,1397.94,1402.99,1390.38,1393.34,1511693.0
MSFT,159.32,159.67,157.32,157.58,21881740.0
NFLX,336.47,336.7,330.3,330.75,4742458.0
TSLA,461.4,471.63,453.355,469.06,18209138.0
AAPL,297.16,304.44,297.156,303.19,33090946.0
AMZN,1898.04,1911.0,1886.445,1891.97,3511966.0
FB,213.0,216.24,212.612,215.22,13492703.0
GOOG,1392.08,1411.58,1390.84,1404.32,1529177.0
MSFT,158.93,160.8,157.9491,160.09,27762026.0
NFLX,331.49,342.7,331.05,339.26,7109117.0
TSLA,473.7,498.49,468.23,492.14,31199393.0
AAPL,307.235,310.43,306.2,309.63,42621542.0
AMZN,1909.89,1917.82,1895.8039999999999,1901.05,3174962.0
FB,217.54,218.38,216.278,218.3,12679579.0
GOOG,1420.57,1427.33,1410.27,1419.83,1502664.0
MSFT,161.835,162.215,161.03,162.09,21399951.0
NFLX,342.0,343.42,334.61,335.66,4717430.0
TSLA,497.1,498.8,472.87,481.34,28463186.0
AAPL,310.6,312.67,308.25,310.33,35217272.0
AMZN,1905.37,1906.94,1880.0,1883.16,2856959.0
FB,219.2,219.88,217.42,218.06,12127432.0
GOOG,1427.56,1434.9289999999999,1418.35,1429.73,1821566.0
MSFT,162.8235,163.22,161.18,161.34,20733946.0
NFLX,337.13,338.5,327.27,329.05,4720540.0
TSLA,481.79,484.94,473.7,478.15,12976832.0
AAPL,311.64,317.07,311.15,316.96,30521722.0
AMZN,1891.31,1898.0,1880.8,1891.3,2785844.0
FB,219.59599999999998,221.97,219.21,221.91,14494517.0
GOOG,1436.13,1440.52,1426.02,1439.23,1653482.0
MSFT,161.76,163.31,161.26,163.28,21637007.0
NFLX,331.8,340.85,331.51,338.92,6296174.0
TSLA,493.5,525.63,492.0,524.86,26634547.0
AAPL,316.7,317.57,312.17,312.68,40653457.0
AMZN,1885.88,1887.11,1858.55,1869.44,3446381.0
FB,221.61,222.38,218.63,219.06,13315361.0
GOOG,1439.01,1441.8,1428.37,1430.88,1560453.0
MSFT,163.39,163.6,161.72,162.13,23500783.0
NFLX,344.4,345.38,335.52,338.69,7201544.0
TSLA,544.255,547.41,524.9,537.92,29061377.0
AAPL,311.85,315.5,309.55,311.34,30480882.0
AMZN,1872.25,1878.86,1855.09,1862.02,2896592.0
FB,220.61,221.68,220.14,221.15,10036475.0
GOOG,1430.21,1441.395,1430.21,1439.2,1282685.0
MSFT,162.62,163.94,162.57,163.18,21417871.0
NFLX,338.68,343.17,336.6,339.07,5158035.0
TSLA,529.76,537.84,516.785,518.5,17368831.0
AAPL,313.59,315.7,312.09,315.24,27207254.0
AMZN,1882.99,1885.59,1866.02,1877.94,2659493.0
FB,222.57,222.63,220.39,221.77,10015288.0
GOOG,1447.44,1451.99,1440.92,1451.7,1173688.0
MSFT,164.35,166.24,164.03,166.17,23865360.0
NFLX,343.5,343.555,335.85,338.62,5015997.0
TSLA,493.75,514.46,492.17,513.49,21736653.0
AAPL,316.27,318.74,315.0,318.73,34454117.0
AMZN,1885.89,1886.64,1857.25,1864.72,3997340.0
FB,222.03,222.29,220.53,222.14,15905944.0
GOOG,1462.91,1481.295,1458.22,1480.39,2396215.0
MSFT,167.42,167.4675,165.43,167.1,34371659.0
NFLX,341.0,341.57,337.38,339.67,6066547.0
TSLA,507.61,515.67,503.16,510.5,13629073.0
AAPL,317.19,319.02,316.0,316.57,27710814.0
AMZN,1865.0,1894.27,1860.0,1892.0,3707785.0
FB,222.155,222.37,219.12,221.44,14275784.0
GOOG,1479.12,1491.85,1471.2,1484.4,2036780.0
MSFT,166.68,168.19,166.43,166.5,29517191.0
NFLX,340.0,341.0,332.59,338.11,14350322.0
TSLA,530.25,548.58,528.41,547.2,17803471.0
AAPL,318.58,319.99,317.31,317.7,25458115.0
AMZN,1896.09,1902.5,1883.34,1887.46,3216257.0
FB,222.31,222.75,221.28,221.32,12212814.0
GOOG,1491.0,1503.214,1484.93,1485.95,1610846.0
MSFT,167.4,167.49,165.68,165.7,24138777.0
NFLX,332.55,336.3,323.6,326.0,21729959.0
TSLA,571.89,594.5,559.1,569.56,31369028.0
AAPL,317.92,319.56,315.65,319.23,26117993.0
AMZN,1885.11,1889.975,1872.76,1884.58,2484613.0
FB,220.75,221.485,219.27,219.76,11195000.0
GOOG,1487.64,1495.52,1482.1,1486.65,1351354.0
MSFT,166.19,166.8,165.27,166.72,19680766.0
NFLX,326.04,349.88,325.01,349.6,18200293.0
TSLA,564.25,582.0,555.6030000000001,572.2,19651042.0
AAPL,320.25,323.33,317.519,318.31,36634380.0
AMZN,1891.37,1894.99,1847.44,1861.64,3766181.0
FB,220.8,221.78,216.11,217.94,11905824.0
GOOG,1493.59,1495.495,1465.25,1466.71,1784644.0
MSFT,167.51,167.53,164.45,165.04,24918117.0
NFLX,348.46,359.85,345.88,353.16,17939681.0
TSLA,570.63,573.86,554.26,564.82,14353600.0
AAPL,310.06,311.77,304.88,308.95,40485005.0
AMZN,1820.0,1841.0,1815.34,1828.34,3528509.0
FB,213.1,216.06,212.5,214.87,13810655.0
GOOG,1431.0,1438.07,1421.2,1433.9,1755201.0
MSFT,161.15,163.375,160.2,162.28,32078067.0
NFLX,345.95,351.9,341.02,342.88,7709482.0
TSLA,541.99,564.44,539.28,558.02,13608068.0
AAPL,312.6,318.4,312.19,317.69,40558486.0
AMZN,1840.5,1858.11,1830.02,1853.25,2808040.0
FB,216.14,218.74,213.52,217.79,13413835.0
GOOG,1443.0,1456.0,1432.47,1452.56,1577422.0
